ID,A1.Code,A2.Date,A3.Data Contributor,A4.Season,A5.City,A6.Climate Zone,B1.Building Type,B2.Building Function,B3.Floors,B4.Building Operation Mode,B5.Room (Length¡ÁWidth),B5.Room Height (m),C1.Sex,C2.Age,C3.Height£¨cm£©,C4.Weight£¨kg£©,C5.Living Years,D1.TSV,D2.TCV,D3.TAV,D5.Clothing Insulation (clo),D6.Metabolic Rate (met),Measured Height (m),E1.Indoor Air Temperature (¡æ),E2.Indoor Relative Humidity (%),E3.Indoor Air Velocity (m/s),E4.Globe Temperature (¡æ),E5.Roof Temperature (¡æ),E5.Wall Temperature (¡æ),E5.Floor Temperature (¡æ),F1.Operative Temperature (¡æ),F2.Mean Radiant Temperature (¡æ),F3.Radiant Temperature Asymmetry (¡æ),F4.PMV,F5.PPD,G1.Real-Time Outdoor Temperature (¡æ),G2.Mean Daily Outdoor Temperature (¡æ),G3.Monthly Mean Outdoor Temperature (¡æ),G4.7-Day Running Mean Outdoor Temperature (¡æ),G4.15-Day Running Mean Outdoor Temperature (¡æ),G5.Mean Daily Outdoor Relative Humidity (%),G6.Mean Daily Outdoor Air Velocity (m/s)
2359,HIT3rd1709,10/29/13 22:31,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,175,86.3,2,0,1,1,0.56,1,1.1,20.5,31,0,20.5,NA,NA,NA,20.5,20.5,NA,-1.99,76.54,NA,0.8,7,3.9,5.1,NA,NA
2360,HIT3rd1710,10/29/13 22:32,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,19,171,61.9,2,-1,2,1,1.02,1,1.1,20.6,34,0,20.6,NA,NA,NA,20.6,20.6,NA,-0.76,17.32,NA,0.8,7,3.9,5.1,NA,NA
2361,HIT3rd1711,10/29/13 22:36,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,177,76.4,2,0,1,1,1.02,1,1.1,23.5,41,0,23.5,NA,NA,NA,23.5,23.5,NA,0.07,5.09,NA,0.8,7,3.9,5.1,NA,NA
2362,HIT3rd1712,10/29/13 22:38,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,178,58.5,2,0,1,1,0.48,1,1.1,23.1,50,0,23.1,NA,NA,NA,23.1,23.1,NA,-1.15,32.98,NA,0.8,7,3.9,5.1,NA,NA
2363,HIT3rd1713,10/29/13 22:39,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,19,167.5,57.2,2,0,1,1,0.57,1,1.1,23.6,41,0,23.6,NA,NA,NA,23.6,23.6,NA,-0.77,17.65,NA,0.8,7,3.9,5.1,NA,NA
2364,HIT3rd1714,10/29/13 22:42,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,165.5,49.8,2,0,1,1,0.6,0.9,1.1,21.9,34,0,21.9,NA,NA,NA,21.9,21.9,NA,-1.98,76.1,NA,0.8,7,3.9,5.1,NA,NA
2365,HIT3rd1715,10/29/13 22:42,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,167.5,50.8,2,-1,2,1,0.54,1,1.1,21.9,36,0,21.9,NA,NA,NA,21.9,21.9,NA,-1.52,52.07,NA,0.8,7,3.9,5.1,NA,NA
2366,HIT3rd1716,10/29/13 22:43,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,181,NA,20,1,2,1,0.56,1,1.1,23.6,42,0,23.6,NA,NA,NA,23.6,23.6,NA,-0.79,18.27,NA,0.8,7,3.9,5.1,NA,NA
2367,HIT3rd1718,10/29/13 22:46,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,21,157.5,43.2,2,-1,2,1,0.74,0.9,1.1,21.9,36,0,21.9,NA,NA,NA,21.9,21.9,NA,-1.54,53.22,NA,0.8,7,3.9,5.1,NA,NA
2368,HIT3rd1719,10/30/13 19:45,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,171.5,63.1,2,0,1,1,0.88,0.9,1.1,22.4,42,0,22.4,NA,NA,NA,22.4,22.4,NA,-0.98,25.27,NA,3.6,7,3.1,4.2,NA,NA
2369,HIT3rd1720,10/30/13 20:14,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,185,79.7,20,-1,2,1,0.93,1,1.1,21.9,32,0,21.9,NA,NA,NA,21.9,21.9,NA,-0.58,12.21,NA,3.6,7,3.1,4.2,NA,NA
2370,HIT3rd1721,10/31/13 12:16,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,19,182.5,61.2,2,0,1,1,0.82,0.9,1.1,22.5,30,0,22.5,NA,NA,NA,22.5,22.5,NA,-1.17,34.14,NA,4.7,7,2.9,4,NA,NA
2371,HIT3rd1722,10/31/13 12:25,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,171.5,57.4,3,-1,1,1,0.94,0.9,1.1,22.7,31,0,22.7,NA,NA,NA,22.7,22.7,NA,-0.84,20.11,NA,4.7,7,2.9,4,NA,NA
2372,HIT3rd1723,10/31/13 16:07,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,185,79.7,20,0,1,1,0.93,1,1.1,21.3,30,0,21.3,NA,NA,NA,21.3,21.3,NA,-0.77,17.43,NA,4.7,7,2.9,4,NA,NA
2373,HIT3rd1724,11/4/13 23:55,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,172,58.1,2,0,1,1,0.46,1,1.1,23.2,41,0,23.2,NA,NA,NA,23.2,23.2,NA,-1.24,37.5,NA,6.8,-2.6,3.9,4.7,NA,NA
2374,HIT3rd1725,11/5/13 10:04,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,171.5,57.4,3,3,2,-1,0.94,1,1.1,25.7,55,0,25.7,NA,NA,NA,25.7,25.7,NA,0.69,15.17,NA,9.1,-2.6,4.2,5.1,NA,NA
2375,HIT3rd1726,11/5/13 10:50,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,19,171,61.9,2,-1,2,1,0.82,1,1.1,24,37,0,24,NA,NA,NA,24,24,NA,-0.14,5.4,NA,9.1,-2.6,4.2,5.1,NA,NA
2376,HIT3rd1727,11/5/13 10:51,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,175,86.3,2,0,1,1,0.72,1,1.1,24,37,0,24,NA,NA,NA,24,24,NA,-0.33,7.25,NA,9.1,-2.6,4.2,5.1,NA,NA
2377,HIT3rd1728,11/5/13 11:06,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,164.5,45.6,2,0,1,1,0.62,1,1.1,23.1,32,0,23.1,NA,NA,NA,23.1,23.1,NA,-0.89,21.79,NA,9.1,-2.6,4.2,5.1,NA,NA
2378,HIT3rd1729,11/5/13 12:11,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,186.5,69.8,2,-2,3,-1,1.07,1,1.1,22.2,35,0,22.2,NA,NA,NA,22.2,22.2,NA,-0.25,6.29,NA,9.1,-2.6,4.2,5.1,NA,NA
2379,HIT3rd1730,11/5/13 12:21,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,19,167.5,57.2,2,0,1,1,0.57,1,1.1,23.6,39,0,23.6,NA,NA,NA,23.6,23.6,NA,-0.79,18.11,NA,9.1,-2.6,4.2,5.1,NA,NA
2380,HIT3rd1731,11/5/13 12:32,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,178,58.5,2,1,2,1,0.56,1,1.1,22.3,36,0,22.3,NA,NA,NA,22.3,22.3,NA,-1.31,40.77,NA,9.1,-2.6,4.2,5.1,NA,NA
2381,HIT3rd1732,11/5/13 16:01,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,21,162.5,72.9,21,0,2,1,1.18,1,1.1,24,37,0,24,NA,NA,NA,24,24,NA,0.37,7.95,NA,9.1,-2.6,4.2,5.1,NA,NA
2382,HIT3rd1733,11/5/13 17:15,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,159.5,47,2,0,1,1,0.49,1,1.1,23.9,36,0,23.9,NA,NA,NA,23.9,23.9,NA,-0.92,22.94,NA,9.1,-2.6,4.2,5.1,NA,NA
2383,HIT3rd1734,11/5/13 17:18,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,172,58.1,2,0,1,1,0.56,1.2,1.1,23.2,36,0,23.2,NA,NA,NA,23.2,23.2,NA,-0.39,8.18,NA,9.1,-2.6,4.2,5.1,NA,NA
2384,HIT3rd1735,11/5/13 17:40,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,19,182.5,61.2,2,2,2,1,1.02,1,1.1,25.3,35,0,25.3,NA,NA,NA,25.3,25.3,NA,0.51,10.37,NA,9.1,-2.6,4.2,5.1,NA,NA
2385,HIT3rd1736,11/5/13 18:15,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,167.5,50.8,2,0,2,1,0.57,0.9,1.1,23.8,35,0,23.8,NA,NA,NA,23.8,23.8,NA,-1.31,40.82,NA,9.1,-2.6,4.2,5.1,NA,NA
2386,HIT3rd1737,11/5/13 18:38,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,22,164.5,50.6,2,2,1,1,0.52,0.9,1.1,24.2,41,0,24.2,NA,NA,NA,24.2,24.2,NA,-1.24,37.57,NA,9.1,-2.6,4.2,5.1,NA,NA
2387,HIT3rd1738,11/5/13 18:43,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,22,162.5,51.1,2,0,2,1,0.77,0.9,1.1,21.3,36,0,21.3,NA,NA,NA,21.3,21.3,NA,-1.67,60.57,NA,9.1,-2.6,4.2,5.1,NA,NA
2388,HIT3rd1739,11/5/13 20:41,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,153.5,44.3,2,-1,2,1,0.66,0.9,1.1,21.7,37,0,21.7,NA,NA,NA,21.7,21.7,NA,-1.84,69.31,NA,9.1,-2.6,4.2,5.1,NA,NA
2389,HIT3rd1740,11/5/13 21:28,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,18,171,56.7,2,1,1,1,0.86,1,1.1,25.8,55,0,25.8,NA,NA,NA,25.8,25.8,NA,0.63,13.28,NA,9.1,-2.6,4.2,5.1,NA,NA
2390,HIT3rd1741,11/5/13 21:41,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,181,NA,20,1,4,1,0.36,1,1.1,22.6,38,0,22.6,NA,NA,NA,22.6,22.6,NA,-1.85,69.78,NA,9.1,-2.6,4.2,5.1,NA,NA
2391,HIT3rd1742,11/5/13 21:59,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,159,54.8,2,1,1,1,0.5,1,1.1,25.9,42,0,25.9,NA,NA,NA,25.9,25.9,NA,-0.08,5.15,NA,9.1,-2.6,4.2,5.1,NA,NA
2392,HIT3rd1743,11/5/13 22:14,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,174,78.4,2,0,1,1,0.84,0.9,1.1,25.5,43,0,25.5,NA,NA,NA,25.5,25.5,NA,0,5,NA,9.1,-2.6,4.2,5.1,NA,NA
2393,HIT3rd1744,11/5/13 22:18,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,19,169.5,54.5,2,1,2,1,0.54,1,1.1,25.9,42,0,25.9,NA,NA,NA,25.9,25.9,NA,0,5,NA,9.1,-2.6,4.2,5.1,NA,NA
2394,HIT3rd1745,11/5/13 22:20,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,22,154.5,51.6,2,2,2,1,0.66,0.9,1.1,25.9,42,0,25.9,NA,NA,NA,25.9,25.9,NA,-0.19,5.79,NA,9.1,-2.6,4.2,5.1,NA,NA
2395,HIT3rd1746,11/5/13 22:22,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,177,76.4,2,0,1,1,0.72,1.2,1.1,23.9,44,0,23.9,NA,NA,NA,23.9,23.9,NA,0.15,5.45,NA,9.1,-2.6,4.2,5.1,NA,NA
2396,HIT3rd1747,11/5/13 23:28,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,165.5,49.8,2,1,2,1,0.49,0.9,1.1,23.7,41,0,23.7,NA,NA,NA,23.7,23.7,NA,-1.55,53.84,NA,9.1,-2.6,4.2,5.1,NA,NA
2397,HIT3rd1748,11/5/13 23:29,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,21,157.5,43.2,2,2,1,1,0.69,0.8,1.1,23.6,41,0,23.6,NA,NA,NA,23.6,23.6,NA,-1.68,60.64,NA,9.1,-2.6,4.2,5.1,NA,NA
2398,HIT3rd1749,11/6/13 7:48,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,168.5,55.4,20,1,1,1,0.46,0.9,1.1,20,46,0,20,NA,NA,NA,20,20,NA,-3.27,99.8,NA,8.3,-2.6,5.2,5.9,NA,NA
2399,HIT3rd1750,11/6/13 12:09,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,171.5,63.1,2,2,2,1,0.76,0.9,1.1,24,36,0,24,NA,NA,NA,24,24,NA,-0.74,16.62,NA,8.3,-2.6,5.2,5.9,NA,NA
2400,HIT3rd1751,11/12/13 17:54,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,21,162.5,72.9,21,0,1,1,1.34,1,1.1,21.5,29,0,21.5,NA,NA,NA,21.5,21.5,NA,-0.09,5.16,NA,-4.6,-2.6,-2.4,-1.5,NA,NA
2401,HIT3rd1752,11/12/13 18:01,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,167.5,50.8,2,0,2,1,0.85,1,1.1,21.4,29,0,21.4,NA,NA,NA,21.4,21.4,NA,-0.91,22.63,NA,-4.6,-2.6,-2.4,-1.5,NA,NA
2402,HIT3rd1753,11/12/13 21:00,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,165.5,49.8,2,-1,1,1,0.77,1,1.1,21.3,30,0,21.3,NA,NA,NA,21.3,21.3,NA,-1.12,31.42,NA,-4.6,-2.6,-2.4,-1.5,NA,NA
2403,HIT3rd1754,11/13/13 8:42,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,19,167.5,57.2,2,1,2,1,0.62,1,1.1,22.9,53,0,22.9,NA,NA,NA,22.9,22.9,NA,-0.8,18.58,NA,0.8,-2.6,-3.2,-2.1,NA,NA
2404,HIT3rd1755,11/13/13 8:48,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,181,NA,20,0,2,1,0.64,1,1.1,22.9,53,0,22.9,NA,NA,NA,22.9,22.9,NA,-0.75,16.88,NA,0.8,-2.6,-3.2,-2.1,NA,NA
2405,HIT3rd1756,11/13/13 12:11,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,177,76.4,2,0,2,1,0.82,1,1.1,23.1,45,0,23.1,NA,NA,NA,23.1,23.1,NA,-0.35,7.55,NA,0.8,-2.6,-3.2,-2.1,NA,NA
2406,HIT3rd1757,11/14/13 9:53,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,170,78.8,2,0,1,1,0.96,0.9,1.1,24.2,52,0,24.2,NA,NA,NA,24.2,24.2,NA,-0.15,5.47,NA,3.1,-2.6,-2.8,-1.6,NA,NA
2407,HIT3rd1758,11/14/13 10:03,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,174,78.4,2,0,1,1,0.74,0.8,1.1,24.3,53,0,24.3,NA,NA,NA,24.3,24.3,NA,-1.13,32.21,NA,3.1,-2.6,-2.8,-1.6,NA,NA
2408,HIT3rd1759,11/19/13 12:28,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,175,86.3,2,-1,2,1,0.61,1,1.1,23.4,43,0,23.4,NA,NA,NA,23.4,23.4,NA,-0.73,16.29,NA,-4.8,-2.6,-1.6,-2,NA,NA
2409,HIT3rd1760,11/19/13 12:59,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,19,182.5,61.2,2,1,1,1,1.27,1,1.1,24.1,44,0,24.1,NA,NA,NA,24.1,24.1,NA,0.55,11.42,NA,-4.8,-2.6,-1.6,-2,NA,NA
2410,HIT3rd1761,11/19/13 23:27,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,21,172,58.1,2,0,1,1,0.46,1,1.1,22.9,48,0,22.9,NA,NA,NA,22.9,22.9,NA,-1.31,40.82,NA,-4.8,-2.6,-1.6,-2,NA,NA
2411,HIT3rd1762,11/21/13 12:19,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,170,78.8,2,2,2,1,0.96,1,1.1,23.8,48,0,23.8,NA,NA,NA,23.8,23.8,NA,0.12,5.3,NA,-6.1,-2.6,-2.4,-2.9,NA,NA
2412,HIT3rd1763,2/21/14 18:21,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.62,1,1.1,21.4,29,0,21.4,NA,NA,NA,21.4,21.4,NA,-1.49,50.8,NA,-15.6,-15.5,-14.3,-17.7,NA,NA
2413,HIT3rd1764,3/26/14 17:52,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,186.5,69.8,2,0,1,1,0.46,0.9,1.1,24.6,44,0,24.6,NA,NA,NA,24.6,24.6,NA,-1.22,36.51,NA,7,-1,4,4,NA,NA
2414,HIT3rd1765,3/27/14 12:47,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,178,58.5,2,0,1,1,0.76,1,1.1,24.6,44,0,24.6,NA,NA,NA,24.6,24.6,NA,0,5,NA,8.1,-1,4.6,4.6,NA,NA
2415,HIT3rd1766,4/2/14 15:57,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,22,162.5,51.1,2,2,2,1,1.4,1,1.1,22.8,27,0,22.8,NA,NA,NA,22.8,22.8,NA,0.26,6.4,NA,3,10.4,5,5.9,NA,NA
2416,HIT3rd1767,4/2/14 19:46,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,168.5,55.4,20,-1,1,1,0.43,0.9,1.1,22.8,27,0,22.8,NA,NA,NA,22.8,22.8,NA,-2.28,87.65,NA,3,10.4,5,5.9,NA,NA
2417,HIT3rd1768,4/2/14 21:49,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,153.5,44.3,2,0,1,1,0.44,1,1.1,22.8,27,0,22.8,NA,NA,NA,22.8,22.8,NA,-1.56,54.52,NA,3,10.4,5,5.9,NA,NA
2418,HIT3rd1769,4/10/14 12:29,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,19,182.5,61.2,2,2,2,1,0.97,1,1.1,22.6,21,0,22.6,NA,NA,NA,22.6,22.6,NA,-0.4,8.39,NA,6.5,10.4,5,6,NA,NA
2419,HIT3rd1770,4/12/14 22:04,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,21,162.5,72.9,21,0,2,1,0.63,1,1.1,22.9,35,0,22.9,NA,NA,NA,22.9,22.9,NA,-0.91,22.73,NA,11.1,10.4,6.1,6.7,NA,NA
2420,HIT3rd1771,4/16/14 21:47,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,159.5,47,2,0,1,1,0.51,0.9,1.1,22.3,25,0,22.3,NA,NA,NA,22.3,22.3,NA,-2.21,85.42,NA,6.5,10.4,8.7,9.7,NA,NA
2421,HIT3rd1772,4/16/14 22:31,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,21,162.5,72.9,21,0,1,1,0.68,1,1.1,22.4,26,0,22.4,NA,NA,NA,22.4,22.4,NA,-1.01,26.83,NA,6.5,10.4,8.7,9.7,NA,NA
2422,HIT3rd1773,4/17/14 12:27,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,165.5,49.8,2,0,1,1,0.44,1,1.1,21.6,23,0,21.6,NA,NA,NA,21.6,21.6,NA,-2.07,79.79,NA,6.8,10.4,8,9.1,NA,NA
2423,HIT3rd1774,4/17/14 12:28,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,21,157.5,43.2,2,-1,2,1,0.77,1,1.1,21.5,23,0,21.5,NA,NA,NA,21.5,21.5,NA,-1.1,30.63,NA,6.8,10.4,8,9.1,NA,NA
2424,HIT3rd1775,4/17/14 17:23,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,3,Radiator heating,NA,NA,Male,20,170,78.8,2,-1,1,1,0.76,0.8,1.1,21.4,39,0,21.4,NA,NA,NA,21.4,21.4,NA,-2.39,91.01,NA,6.8,10.4,8,9.1,NA,NA
2425,HIT3rd1776,4/17/14 23:15,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Radiator heating,NA,NA,Female,20,167.5,50.8,2,0,1,1,0.47,1,1.1,21.6,27,0,21.6,NA,NA,NA,21.6,21.6,NA,-1.93,73.87,NA,6.8,10.4,8,9.1,NA,NA
2426,HIT3rd1777,4/23/14 19:04,Harbin Institute of Technology ,Transition Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Naturally Ventilated,NA,NA,Female,20,167.5,50.8,2,-1,2,1,0.39,1,1.1,21.7,34,0,21.7,NA,NA,NA,21.7,21.7,NA,-2.15,83.01,NA,16.4,10.4,8.2,10.2,NA,NA
2427,HIT3rd1778,4/24/14 6:44,Harbin Institute of Technology ,Transition Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Naturally Ventilated,NA,NA,Female,20,165.5,49.8,2,0,1,1,0.69,0.9,1.1,22,44,0,22,NA,NA,NA,22,22,NA,-1.58,55.62,NA,20.1,10.4,9.6,11.3,NA,NA
2428,HIT3rd1779,4/24/14 20:53,Harbin Institute of Technology ,Transition Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Naturally Ventilated,NA,NA,Female,22,164.5,50.6,2,-1,1,1,0.46,1,1.1,23,51,0,23,NA,NA,NA,23,23,NA,-1.24,37.59,NA,20.1,10.4,9.6,11.3,NA,NA
2429,HIT3rd1780,4/25/14 21:56,Harbin Institute of Technology ,Transition Season,"Heilongjiang Province, Harbin City",Cold zone,Dormitory,Dormitory,4,Naturally Ventilated,NA,NA,Female,21,157.5,43.2,2,0,1,1,0.64,1,1.1,23.8,37,0,23.8,NA,NA,NA,23.8,23.8,NA,-0.56,11.63,NA,21,10.4,11.4,13,NA,NA
